Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,74.529999,75.150002,74.500000,75.139999,65.406616,5037200
2013-01-03,75.120003,75.370003,74.839996,75.029999,65.310860,2634600
2013-01-04,75.139999,75.519997,74.989998,75.410004,65.641655,2512900
2013-01-07,75.180000,75.279999,74.949997,75.209999,65.467552,2511200
2013-01-08,75.110001,75.180000,74.699997,75.010002,65.293442,1407900
2013-01-09,75.190002,75.410004,75.110001,75.239998,65.493668,1421900
2013-01-10,75.620003,75.769997,75.220001,75.760002,65.946304,1403700
2013-01-11,75.760002,75.800003,75.510002,75.769997,65.955025,1248500
2013-01-14,75.750000,75.800003,75.440002,75.690002,65.885376,2745100
2013-01-15,75.400002,75.889999,75.339996,75.830002,66.007240,1109100
2013-01-16,75.680000,75.910004,75.589996,75.769997,65.955025,1211300
2013-01-17,76.110001,76.500000,76.000000,76.290001,66.407654,1534800
2013-01-18,76.320000,76.540001,76.040001,76.500000,66.590431,2173800
2013-01-22,76.500000,76.900002,76.330002,76.900002,66.938637,3583900
2013-01-23,76.930000,77.080002,76.779999,76.989998,67.016991,2295000
2013-01-24,76.919998,77.440002,76.860001,77.080002,67.095314,5386800
2013-01-25,77.379997,77.529999,77.120003,77.510002,67.469612,2997100
2013-01-28,77.599998,77.610001,77.150002,77.440002,67.408714,1634100
2013-01-29,77.339996,77.769997,77.239998,77.699997,67.635002,2279300
2013-01-30,77.690002,77.830002,77.269997,77.389999,67.365166,2074200
2013-01-31,77.330002,77.500000,77.150002,77.250000,67.243286,2611300
2013-02-01,77.779999,78.110001,77.610001,78.000000,67.896156,2550000
2013-02-04,77.639999,77.720001,77.129997,77.180000,67.182373,2457700
2013-02-05,77.620003,78.110001,77.540001,77.910004,67.817810,1609800
2013-02-06,77.680000,78.059998,77.599998,78.050003,67.939667,1739400
2013-02-07,78.050003,78.129997,77.360001,77.910004,67.817810,2260100
2013-02-08,78.029999,78.379997,78.010002,78.379997,68.226913,4399000
2013-02-11,78.360001,78.389999,78.139999,78.339996,68.192085,2112700
2013-02-12,78.339996,78.599998,78.279999,78.470001,68.305275,1568600
2013-02-13,78.680000,78.790001,78.339996,78.580002,68.401016,1346500
2013-02-14,78.349998,78.750000,78.279999,78.680000,68.488083,1287500
2013-02-15,78.750000,78.830002,78.320000,78.589996,68.409706,1248400
2013-02-19,78.709999,79.160004,78.709999,79.139999,68.888466,1763000
2013-02-20,79.110001,79.129997,78.080002,78.089996,67.974472,2507600
2013-02-21,77.889999,77.889999,77.250000,77.559998,67.513138,2641300
2013-02-22,77.919998,78.309998,77.769997,78.309998,68.165993,1833200
2013-02-25,78.680000,78.779999,76.849998,76.870003,66.912521,1979400
2013-02-26,77.190002,77.440002,76.669998,77.360001,67.339058,2505700
2013-02-27,77.269997,78.529999,77.260002,78.309998,68.165993,1442500
2013-02-28,78.309998,78.809998,78.129997,78.239998,68.105064,1564400
2013-03-01,77.959999,78.500000,77.510002,78.419998,68.261726,1884800
2013-03-04,78.239998,78.779999,78.099998,78.779999,68.575096,1418100
2013-03-05,79.150002,79.720001,79.099998,79.570000,69.262772,1855000
2013-03-06,79.839996,79.889999,79.519997,79.690002,69.367241,2045000
2013-03-07,79.800003,79.949997,79.720001,79.879997,69.532608,1564000
2013-03-08,80.230003,80.360001,79.820000,80.269997,69.872063,1984200
2013-03-11,80.190002,80.529999,80.089996,80.500000,70.072311,1610000
2013-03-12,80.470001,80.570000,80.120003,80.360001,69.950447,1505700
2013-03-13,80.370003,80.610001,80.150002,80.510002,70.081001,1021900
2013-03-14,80.720001,80.989998,80.680000,80.959999,70.472717,1328200
2013-03-15,80.900002,80.970001,80.599998,80.870003,70.394371,1850700
2013-03-18,80.139999,80.769997,80.000000,80.430000,70.011360,1983400
2013-03-19,80.599998,80.720001,79.690002,80.209999,69.819878,1522500
2013-03-20,80.650002,80.930000,80.559998,80.809998,70.342133,1475900
2013-03-21,80.339996,80.610001,79.989998,80.160004,69.776352,1418500
2013-03-22,80.029999,80.320000,79.970001,80.290001,70.208328,1648200
2013-03-25,80.550003,80.699997,79.720001,80.019997,69.972221,2905700
2013-03-26,80.339996,80.629997,80.239998,80.620003,70.496864,1322900
2013-03-27,80.160004,80.709999,80.010002,80.680000,70.549332,2494200
2013-03-28,80.669998,81.019997,80.580002,80.959999,70.794197,1897700
2013-04-01,80.949997,81.059998,80.320000,80.529999,70.418175,3097600
2013-04-02,80.860001,81.040001,80.540001,80.769997,70.628052,2480900
2013-04-03,80.820000,80.879997,79.680000,79.889999,69.858559,2266100
2013-04-04,80.010002,80.330002,79.820000,80.239998,70.164589,1317800
2013-04-05,79.260002,80.010002,79.139999,79.959999,69.919746,1533500
2013-04-08,80.000000,80.470001,79.730003,80.449997,70.348221,1927500
2013-04-09,80.599998,80.989998,80.339996,80.680000,70.549332,1178300
2013-04-10,80.879997,81.800003,80.870003,81.720001,71.458748,2209500
2013-04-11,81.730003,82.279999,81.690002,82.029999,71.729828,1263200
2013-04-12,81.760002,81.919998,81.320000,81.739998,71.476234,1413500
2013-04-15,81.449997,81.449997,79.739998,79.750000,69.736130,3054500
2013-04-16,80.360001,80.980003,80.139999,80.930000,70.767967,1945500
2013-04-17,80.389999,80.419998,79.290001,79.720001,69.709908,2688400
2013-04-18,79.849998,79.910004,78.930000,79.220001,69.272675,1505800
2013-04-19,79.489998,80.010002,79.230003,79.980003,69.937241,965500
2013-04-22,80.129997,80.500000,79.550003,80.320000,70.234543,1237200
2013-04-23,80.720001,81.239998,80.389999,81.190002,70.995308,1957600
2013-04-24,81.199997,81.500000,81.070000,81.309998,71.100235,1039800
2013-04-25,81.540001,82.040001,81.449997,81.639999,71.388809,1120900
2013-04-26,81.529999,81.680000,81.220001,81.489998,71.257629,1150200
2013-04-29,81.709999,82.190002,81.589996,82.010002,71.712349,2118600
2013-04-30,82.019997,82.300003,81.690002,82.260002,71.930939,1740800
2013-05-01,82.110001,82.169998,81.379997,81.419998,71.196411,2159700
2013-05-02,81.610001,82.320000,81.610001,82.269997,71.939690,1616200
2013-05-03,82.989998,83.379997,82.860001,83.040001,72.613022,2382900
2013-05-06,83.150002,83.459999,83.099998,83.360001,72.892830,1879100
2013-05-07,83.580002,83.830002,83.309998,83.820000,73.295082,1967400
2013-05-08,83.720001,84.209999,83.680000,84.209999,73.636086,1734900
2013-05-09,84.190002,84.349998,83.739998,83.930000,73.391251,1495200
2013-05-10,84.040001,84.300003,83.809998,84.300003,73.714813,1333200
2013-05-13,84.190002,84.440002,83.959999,84.320000,73.732292,1285300
2013-05-14,84.400002,85.250000,84.400002,85.190002,74.493050,1440100
2013-05-15,85.059998,85.790001,85.019997,85.559998,74.816597,2743600
2013-05-16,85.529999,85.760002,85.099998,85.209999,74.510536,2006200
2013-05-17,85.570000,86.089996,85.459999,86.080002,75.271278,1540200
2013-05-20,86.010002,86.389999,85.900002,86.070000,75.262527,1680900
2013-05-21,86.139999,86.480003,85.860001,86.209999,75.384949,1483200
2013-05-22,86.279999,87.089996,85.000000,85.360001,74.641708,3378000
2013-05-23,84.489998,85.370003,84.320000,85.199997,74.501770,2748400
2013-05-24,84.660004,85.099998,84.379997,85.089996,74.405594,1151700
2013-05-28,86.029999,86.419998,85.339996,85.639999,74.886543,2120900
2013-05-29,85.199997,85.320000,84.570000,85.059998,74.379341,2420800
2013-05-30,85.160004,85.769997,85.080002,85.410004,74.685417,1630000
2013-05-31,85.180000,85.650002,84.199997,84.269997,73.688583,2005100
2013-06-03,84.449997,84.660004,83.739998,84.610001,73.985870,3620100
2013-06-04,84.720001,84.989998,83.769997,84.199997,73.627342,2311900
2013-06-05,83.989998,84.110001,82.940002,83.010002,72.586777,2944800
2013-06-06,82.989998,83.800003,82.529999,83.790001,73.268845,2633900
2013-06-07,84.349998,84.900002,83.970001,84.830002,74.178253,2391500
2013-06-10,85.150002,85.160004,84.610001,84.860001,74.204506,3643600
2013-06-11,84.099998,84.720001,83.769997,84.000000,73.452461,2102200
2013-06-12,84.580002,84.629997,83.190002,83.290001,72.831627,2568400
2013-06-13,83.220001,84.720001,83.029999,84.580002,73.959641,4100100
2013-06-14,84.489998,84.809998,83.930000,84.099998,73.539909,1653500
